d 的
zgoe 宰
xmea 朽
kgo 魁
yni 姻
wq 旺
nne 嫩
whiu 巫
sxa 恕
hcai 郝
xgue 宪
ggeu 寡
yyua 韵
jsu 祭
cno 禅
bjee 绑
rfa 扔
ynu 裕
xne 牺
jcua 菊
ldei 淋
jlei 荆
dmae 鼎
gwi 裹
ynei 嫣
zmei 栽
pmi 朴
dhua 歹
yvea 尧
jsao 峻
zmoa 枕
kr 会
sqiu 狮
jvae 郡
xcei 厢
jro 倦
cne 衬
qlei 怯
gwu 瑰
qdee 契
xfu 掀
qdei 漆
zbei 症
pdau 泼
mmae 眠
hgu 罕
pfao 拚
xmoo 瞎
qla 妾
jlia 竭
mgia 冥
hsi 翰
qje 绮
dmei 睹
dkei 叮
xvi 霄
lne 姥
gsae 躬
jmoe 校
pdua 泡
syio 裳
cdao 澄
zbea 兹
xbe 兮
sneu 耍
gcu 轨
mca 茅
dti 堤
lpi 篮
xgo 弦
czuo 舱
wkua 呜
mgei 寞
wneu 歪
qnu 祈
qpea 乞
xjei 巷
xmee 械
qree 倩
cxuu 惩
rfao 揉
fbe 赋
yyua 颖
tfua 掏
tvi 膛
tcu 藤
pseo 砰
zyu 诊
syui 叟
zde 浙
zpei 乍
qxe 窃
ynuo 姚
gmee 杆
rv 阮
xta 馨
hdui 淮
pvoa 翩
hkei 哄
fjua 帆
wpao 丸
hto 壶
gmo 棺
fyu 讽
stou 塑
sfei 撕
dyao 叠
zmee 栈
ldeu 鹿
hleu 憾
xlai 逊
fcua 蜂
yreu 佑
zbou 赚
rz 乳
hhui 煌
zmoe 桩
bwoe 斑
swi 衰
mmoe 盲
ske 嘶
bwia 禀
pco 蒲
dyui 诞
xbi 旬
bvua 鲍
cdu 沧
nfae 挪
xmi 杏
tmoo 驼
ykee 吁
lni 裸
zmue 株
zza 妆
dn 妒
kmee 框
gjia 锅
sgu 宿
sli 竖
qweu 琦
vkae 喔
zzia 躁
kmi 棵
bdo 滨
qxu 雀
ttei 填
gfo 搁
xsio 屑
qvui 邱
tp 筒
ddea 冻
svo 霎
tno 婷
chia 灿
ckia 串
bsui 碑
tvao 胎
pto 畔
smao 骚
scei 厮
ynia 婴
xfui 携
kti 坤
pvi 聘
xjia 锡
bvia 鄙
zfou 掷
vwe 敖
dte 堵
vho 黯
ycia 茵
yhae 夷
fcei 辅
fwi 斐
mjua 铭
blae 剥
cfiu 抄
xqu 旭
pyo 谱
zbue 账
hmoe 杭
mno 嬷
sfoe 擅
lrua 仑
xviu 隙
ycee 芸
zmee 盏
szae 肆
tzo 蹄
ykea 咦
xfe 挟
zjoo 绽
tmio 棠
zhue 秩
yza 乙
tdao 滩
tma 桶
thu 秃
zka 嘱
jcee 藉
sdau 涩
yzau 孕
jcoe 蒋
jni 娟
qmo 渠
ncu 孽
xqa 暇
lcei 菱
smoe 梳
kxa 恳
dzo 蹲
pfou 撇
lwuo 敛
pce 苹
ydoa 泳
ygia 寓
zyue 诈
gkuo 冈
mmei 瞄
jvo 郊
tpu 彤
xqei 晰
ppu 篷
cfuo 挫
pcua 葡
yga 庸
bsua 崩
skuo 啥
qku 囚
rda 汝
yqei 猿
lse 磊
bwou 敝
zreu 佐
ywuo 瑜
szu 艘
dyei 颠
xnui 媳
jvoe 脊
zvia 肿
yka 哟
ywo 彦
ydou 溢
wmee 枉
hcia 徽
fto 坟
bwe 斌
lco 芦
yxua 乐
zvei 肢
dmea 栋
jfu 拘
fxuo 忿
hqui 猴
ydeu 涯
zsei 砸
tdei 潭
hkui 哗
cwi 敞
jfae 掘
mceu 茂
ymi 樱
wru 侮
zvu 胀
pmua 棚
yjua 钥
dju 钓
sseu 叁
zdei 滞
tmoe 瞳
bmuo 驳
fhei 焚
fbuu 贩
dlu 遁
mqee 昧
mkou 咪
hgia 寰
cco 蝉
ymei 盐
qmui 樵
sseu 硕
ffu 斧
ckia 嗤
qsei 擎
dpi 笛
gyii 尴
tdi 兔
dvo 耽
gyuo 尬
wti 胃
ftoe 坊
kxee 窥
vkui 噢
wbu 勿
gmou 糕
lweu 弄
gsii 刮
msue 牟
hbue 皓
pcoe 彷
czuo 踩
yfuo 於
lvei 腊
cyou 酬
hqe 旱
pdei 浦
bbeu 毙
kmee 眶
cwo 琛
skio 哨
xqeo 狭
hga 弘
kto 坑
zxu 窄
ztui 圳
nkia 呐
fkie 匪
cvei 翅
lruo 伶
zkei 哉
tmia 榻
jhia 炯
hmei 桓
nru 倪
cria 倡
zdei 湛
kkai 叩
wqe 晤
mdei 沐
vsue 峨
jqoe 狡
qgi 鞘
zjoe 幢
jsua 饥
lmi 楞
lfe 拢
zhua 灼
jdae 浸
skia 呻
dne 祷
fde 樊
zweu 斋
dlue 迭
xlio 逍
sveo 陕
mmou 眯
jloe 剂
qru 侨
xwia 襄
cdo 淳
gdi 龟
xlei 熙
rci 芮
qye 顷
qhu 犬
ykuo 喻
qnei 歧
ljo 缕
bmo 榜
by 颁
ycei 衙
bsou 饼
ykoa 咏
ttia 塌
jhia 柬
ccoe 茨
clea 惭
jjua 钧
jnei 襟
tseu 炭
jyae 诀
mqei 暮
csou 磁
ghu 雇
ydoe 奕
tjie 帖
xdei 潇
jhe 稽
shua 烁
zwei 甄
lkeu 咧
xyoe 羡
pkei 啪
jnei 妓
gjia 纲
lxei 栗
zrie 侦
ycoo 衍
zvua 脂
jdi 溅
glei 龚
ylao 怡
cju 绸
ybou 痒
bho 秘
ljei 绫
tcua 萄
dvui 兜
gvee 肝
jjui 缴
ycaa 蕴
pra 僻
spee 矢
zdei 殖
tko 啼
zlei 煮
yluo 逾
qnai 祁
ybu 舆
zvua 邹
bcou 蔽
fjei 缚
dhuo 稻
kkoo 喀
dzuo 蹈
yrua 佣
cja 钗
wveu 兀
zdei 汁
xlia 勋
lsa 碌
mceu 莽
xlua 懈
ynea 鸦
tzu 艇
glu 逛
ywei 瑛
zsee 砖
ldii 滥
bhia 扁
bzeu 跋
rki 冉
pdei 沛
xcoo 辖
tto 塘
qro 禽
gvua 胳
xna 婿
pki 噗
lmoa 驴
wwee 玮
sfee 拭
lri 侣
lfi 揽
xko 喧
broe 傍
ldoi 澜
zjua 铮
kxae 窟
xvue 卸
khe 烤
dzoo 舵
lqi 狸
vle 熬
lcia 萝
xcue 衔
ynei 娅
xmoe 眩
bmei 彬
jfuo 捡
bvei 膊
hyu 颔
vkeu 呃
czeu 蹙
bdu 泊
bxa 辟
sno 禅
sqe 匙
xtoe 畜
sceu 厦
crae 伺
xcei 茜
kku 咯
xkee 吁
zwuo 卒
hfe 撼
yqoo 晏
jmou 眷
hlia 悍
wvoe 雯
spu 笙
vca 厄
ggua 巩
dkei 嘟
jku 匠
xvia 腥
xmiu 省
smio 梢
bpa 匕
fvei 肺
lna 禄
dla 逮
ynia 娱
zgia 宙
fjoe 纺
zdia 澡
vreu 俺
gbei 卦
tho 烫
nve 腻
jnoe 嫉
yhia 虞
bjua 绷
xxa 絮
qgo 寝
tmou 毯
lhia 吏
trua 佟
zvou 朕
hwia 亨
jwua 玑
jvoe 胶
lvei 陋
ybua 疫
jjoe 绞
kdia 溃
czia 巢
xcoe 薪
ktu 坎
xhui 熄
ynee 妍
vn 鹅
ckei 嗔
jceu 荐
zyue 诛
tvue 霆
nqo 狞
lkeu 咙
cli 逞
hdoo 浣
lkei 喇
zpoe 彰
lso 屡
mja 缪
zpee 竺
dfua 捣
ywaa 雍
cyei 醋
mvu 霉
jfoo 搅
lfei 捞
gmei 闺
tduo 滔
zjee 铸
jzia 舰
cjue 锤
scai 蔬
ydao 冶
dze 刁
sdao 渗
jcee 菁
sqei 晒
jfue 揪
ynuo 媛
sjia 绅
lto 垃
hjui 凰
ynia 鸭
ktoa 壳
tdua 淘
qyei 裘
lzo 踉
ypia 禹
gcua 苟
jxa 窘
jtua 圾
cfia 摧
gfei 罐
xduo 汹
lwoe 琉
jmao 骏
bqi 狈
zko 咨
xcoo 萱
zcue 蛛
qce 蔷
zfai 拙
dja 凳
zhui 稚
zjia 帜
lcei 蜡
qzuo 跄
ydeu 淹
xpae 箫
ysi 砚
kdei 奎
jbua 疚
lxio 隶
pte 坪
lmue 梨
vg 鞍
snua 姗
ycai 荫
wmei 梧
dta 堕
fwe 敷
pcoe 菩
xki 嘘
jpei 筠
hqee 昊
lgao 廖
xvee 邢
ssi 砂
qji 觑
jbie 冀
mzia 觅
lfeu 撩
dzoe 踱
vkeu 呕
xkui 嗅
cmu 瞅
hhua 焕
yfia 揖
jyua 讥
cwoe 瓷
vnu 娥
qdoa 沁
slei 慑
xgi 宵
zsei 挚
cqo 猝
vge 庵
wkei 唔
wje 纬
nhe 虐
kse 磕
zkei 吱
cga 戳
syuo 颂
blou 迸
tmu 桃
dtei 垫
chia 炽
zvei 肘
cjie 绰
djui 缎
qmou 阙
zlou 憎
bfuu 扳
xgeu 咸
sqei 暑
cdoe 澈
zso 昼
wcae 蔚
smao 梭
kqo 旷
xlue 熏
bxu 瓣
sdei 奢
bcu 蓓
syao 诵
snoo 婶
mvei 朦
rb 髯
jjia 绢
mcia 蔑
gpee 竿
zne 褚
rje 绒
zdei 斟
gkeu 嘎
bvea 陛
tki 凸
srou 伞
hgee 豁
tyue 颓
jso 浆
ycua 苑
vlu 懊
gzei 罡
csuo 岔
jcoe 蛟
fdae 沸
wfe 捂
qlei 麒
szua 蜀
kfia 捆
dbia 兑
fnu 袱
wkuo 嗡
mfa 抿
xgui 靴
ycea 芽
nnai 妞
vli 遏
slei 恃
ddou 奠
qxei 窍
bpie 彪
hcei 蝴
jmua 驹
bku 叭
hqo 晖
jkuo 嚼
lpo 笠
mvei 膜
cmo 粹
bwae 璧
bbai 疤
nni 衲
lvei 霖
ymao 驭
lveu 胧
dxe 窦
zca 蒸
cto 畜
cmou 阐
hbeu 贿
zdeu 詹
hcei 葫
lko 喽
mdee 沫
zkee 啧
pku 啤
cpo 簇
hguu 弧
plo 剖
myo 谜
tba 瘫
kp 筷
pzu 趴
xsio 犀
ype 夭
nvu 霓
yyuo 谣
ltao 垒
zkia 噪
yhaa 黝
hwei 瑚
dka 叨
ymua 檐
zfee 揍
gnu 鸽
dbia 甸
ndi 涅
ydou 漾
cfou 搓
lrue 俐
jjua 绛
xyea 谐
wri 偎
kkoe 吭
kgoe 廓
slua 删
nsi 尿
bhia 丙
ynei 莺
nfo 拧
skei 嗦
sfao 搔
mya 谬
pdui 濮
jlue 悸
hyee 讳
jdao 浚
tmoe 檀
xqia 猩
chai 丞
xkia 匣
jsue 矫
llei 聋
mcia 蔓
yboe 匀
zxe 窒
mdia 渺
qduo 洽
jgu 靳
csue 掣
jsia 兢
zjue 锺
lmau 娄
bzia 蹦
ycei 辕
zhia 燥
rt 壤
dku 咚
ssia 蚀
jmea 睫
pwu 珀
xmua 枭
kteu 垮
xdoa 泻
ccee 蚕
cfia 揣
jwei 瑾
mloi 悯
nyo 酿
qve 翘
xjo 镶
xkia 嚣
kfe 扛
syau 韶
jrae 倔
ptui 堡
syia 讪
pve 膨
ppi 乒
pva 霹
gwia 膏
swio 琐
mje 缅
bbo 鬓
gfei 缸
tvou 滕
nkei 匿
lduo 沦
chiu 炒
yyua 诣
cqu 晁
sti 墅
nga 弩
lgoa 庐
bno 弊
vb 癌
pdi 瀑
lku 噜
cjiu 钞
mnei 牡
ckei 哧
jcou 厥
bbuo 贬
lfie 掳
rca 茹
zja 缀
fcei 蝠
fru 俘
svi 腮
kri 侃
klei 勘
pme 瞟
xci 蝎
clue 怅
tdio 淌
qsio 峭
nmu 睨
xnoi 娴
qkuo 呛
csou 磋
hqia 猾
jdia 沮
sluo 刹
lva 肋
scue 赦
djui 锻
zma 札
mmei 睦
jdea 浇
dpaa 笃
hmu 槐
ssae 饲
dxa 怠
cjoe 铲
ycou 蚁
zdia 浊
smua 栅
nmi 粘
xkie 唬
bpo 簿
qlue 迄
dzua 跺
jjia 缉
gte 圭
ssoe 嵩
fme 梵
bti 坝
dlie 悼
ndae 溺
lvou 鳞
mcia 萌
gkei 哽
zfae 撰
yjee 钰
ljia 锣
jlou 煎
klo 慷
wsue 巍
lcia 螺
xkei 哮
qhoe 虔
lweu 珑
svou 膳
ccua 葱
hhia 秽
csuo 岑
tlia 剔
pya 譬
pwi 璞
zmae 瞩
sbe 赎
lveu 雳
msai 嵋
zhia 枣
fvoe 腑
nyi 讷
xdae 汛
mcei 蟒
xqo 曦
xmui 驯
bxue 秉
skue 噬
sjae 巳
jgei 戟
zmua 瞻
syue 酥
tdo 涕
tsee 舔
gcia 蛊
kli 恺
ssai 祟
rcoa 蕊
dsei 碟
njai 钮
ple 怦
jgua 鞠
ldoe 漓
szo 舜
zcia 轴
smeu 枢
kw 珂
wnee 袜
jfea 拣
syuo 讼
hyei 诃
hlua 惚
wce 苇
tna 褪
lvuo 聆
dza 蹬
qyi 谴
skei 嗽
lha 虏
hhei 烘
tlue 恬
bxaa 辫
jkua 咎
dkai 咄
cmuo 睬
jhia 棘
zhua 炙
wli 惘
qca 虬
hkoe 嚎
xpu 筱
hque 晦
slei 悚
zzue 孜
jyee 诫
wma 毋
ptei 埔
zcue 茱
cfue 捶
zwo 璋
pkua 咆
hbi 鬟
nyu 袅
yqou 氧
smuu 杉
srei 仕
lpa 卵
djoe 缔
ldoe 浏
tkue 唾
tmuo 眺
jcia 菌
lgao 寥
lfeo 擂
zya 诏
jruo 俭
bjou 绊
cka 啜
cmeu 橱
jvee 阱
qbe 酋
yba 瘾
zjie 帧
pkeu 呸
tlia 惕
mfaa 拇
clia 恻
nko 哝
yrou 佯
clo 悴
hcei 蕙
lfuo 抡
zyou 凿
xcei 虾
zpua 筝
lyi 颅
ppie 乓
vquo 暧
dko 嘀
mmoe 闵
ccia 厕
zdau 沼
rdoo 溶
lbu 瘤
qsei 嵌
vki 凹
pvei 脯
bge 庇
qseu 崎
yyuo 谕
hnia 褐
zgou 粥
zyi 诅
qlui 憔
xho 炫
bsou 屏
pxa 辟
dbei 癫
bwia 惫
yyoa 恙
qnei 祺
vhi 噩
zweu 琢
sgeu 髓
qfua 掐
clia 忡
jlao 迳
fvi 霏
jnua 鸠
tha 屯
bxou 憋
jnea 婕
ylao 翊
jyo 酱
mdai 湄
jjei 缰
lwua 珞
xcoa 芯
jrea 侥
zmoo 棕
skei 嗜
mmai 楣
tdeu 汰
jdoi 涧
yvuo 肴
xmei 栖
vci 萼
lrei 佬
ydia 奄
djoo 锭
pdui 泊
kke 匡
tca 苔
kki 啃
ynua 鸳
hcia 徊
vfaa 拗
qcu 芹
wco 蚊
jhea 炬
pci 徘
mwaa 氓
nle 懦
lno 鸾
qjua 铅
lgao 戮
yqa 曳
wju 帷
bcai 芭
zhe 灶
pbee 琵
hkoo 嗨
xcue 薰
lcia 厘
svou 朔
wdia 涡
ksei 嵌
ycia 蝇
nfe 挠
ktae 垦
hgo 骸
cmeu 盛
dkua 哆
wcue 萎
nfeu 捺
gtu 垢
bhe 炳
ljii 缆
zkei 喳
lgou 髅
jnia 鹃
fcoo 藩
xmua 橡
czei 躇
czee 踌
cmei 槽
hgei 宦
sdei 漱
ykai 邑
slua 飒
cfoe 搐
kgei 骷
djea 钝
tvae 臀
zsea 崭
dvui 翟
zyua 酌
lfuo 拎
jlau 迦
xquu 昕
sfao 抒
jpee 笺
whee 炜
xlia 惺
xxo 衅
pwe 琶
ymao 驿
zboe 赃
spei 簌
lbei 癞
sqia 曙
ggae 庚
qsea 砌
tlau 迢
mnae 袂
fji 绯
ygei 寅
zbea 皂
lpoe 篱
qjo 锵
bza 跛
qbu 痊
jmua 桀
cna 祠
bjei 钵
zha 臻
qze 跷
zcoe 辙
lsou 磷
yyei 颐
yxue 窑
yduo 渝
dvua 邸
qdei 淇
ldie 滤
cfua 搀
jxue 窖
dsui 岱
gmei 杠
fmei 粪
hji 幌
ynia 鸯
fvie 翡
zfai 拯
ycei 萤
gco 莞
mmie 靡
lhua 烙
zjui 锥
skia 嗣
czie 雌
ksi 馈
dlou 惮
hyei 酣
nze 蹑
ydia 殃
zqua 狰
mlei 募
ykaa 吆
ypu 筵
kwu 亢
lnei 婪
xzaa 奚
zmi 闸
xwae 瑕
jbei 髻
nfie 拈
nhu 黏
wbi 瘟
xbu 匈
nyie 谑
rrei 偌
jkua 叽
sdou 溯
zfue 攒
zvoa 肇
jhoo 稼
lmei 棱
gmei 梗
xrea 偕
hpe 禾
xqoo 暄
vv 鄂
nme 楠
sgei 庶
vfe 扼
lreu 僚
fza 孚
dda 殆
zboo 贮
fcei 辐
xlei 悻
vco 蔼
lmia 骡
bcoa 蝙
wda 渥
jfia 攫
jmie 骥
zcaa 轧
xnei 嬉
kce 苛
yveu 羿
jza 隽
gyo 羹
svou 隧
jmoe 桨
kmeu 盔
wlo 惋
ysuo 馀
shei 穗
hve 邯
txeo 忒
zdee 渍
yvia 胭
jpua 笈
sfuo 拴
zcue 蜘
kfei 拷
xdui 涎
yqoe 昱
zkue 咋
skae 唰
wcei 蛙
xcua 蟹
jzei 羁
wyei 诬
mcee 茉
hti 壑
jke 噤
mcu 茗
zroo 伫
cbuo 疮
bke 哺
czua 雏
zdei 渣
vcu 蛾
cfia 撮
fhie 扉
yno 嬴
spae 笋
skao 吮
sxo 粟
jmie 椒
msi 馒
yvoe 翌
dzau 貂
scai 荪
ldeu 冽
djao 铎
ykoe 唷
pge 瓢
rwa 韧
clue 忏
sloo 邃
rgu 冗
zgeu 冢
xlae 遐
yyi 谒
qcau 茄
kmii 槛
jsui 礁
lwoa 琅
hmei 阖
zmie 毡
skao 唆
bjoe 镑
zcae 辗
ksoo 崆
jsae 崛
nce 廿
scee 蒜
xjua 绚
mcaa 蚂
jdue 歼
tsei 屉
yjuo 臾
wcee 芜
xlia 煦
jmuo 睑
lbua 赂
llei 剌
tgua 骰
qcue 芊
ckei 嘈
yjao 绎
bbi 帛
sfui 飕
xlui 恤
qxa 穹
xma 栩
rge 戎
hwie 琥
ykei 噎
yyao 甬
xjuo 鑫
smoe 柿
rn 褥
qcuo 荃
ydua 漪
ljeu 缭
jdua 汲
fmui 阀
zjia 镯
zcei 辄
kho 炕
xti 墟
yrei 俨
jgea 暨
lkei 唠
hpei 簧
lbui 赁
zbee 赘
jzoe 跤
spee 甥
bdie 濒
bzui 舶
ssou 屎
dni 妲
nkoo 咛
ynia 鹦
jlao 竣
zjii 钊
swia 孰
rke 嚅
cqia 猖
pkei 圃
yto 壹
yfia 挹
lwia 吝
jsua 矶
jmei 桔
wcia 蜈
ypea 毓
vvo 肮
fjuo 幡
vnue 袄
yceu 靥
hdoa 沪
ysue 屹
gkuu 呱
hse 卉
dsei 巅
qnei 鹊
sje 夙
ghia 亘
gda 溉
bjoo 缤
wwaa 紊
jzii 亟
czia 踹
jnoe 鹫
ddu 涤
vse 殴
crua 侈
yyia 裔
hxa 憨
jlie 遽
xhe 黠
txei 忑
yqao 曜
cyoe 醇
xdoe 漩
bko 匾
cmio 瞠
nkei 嗫
cfa 掺
jki 咀
zmui 椎
jlia 迥
kji 铿
mbu 髦
lsoe 峦
pwia 烹
cmue 糙
zzie 趾
jcia 茧
mwae 珉
tlo 剃
zkeu 啄
qco 蜷
kkia 喟
jzae 踞
txi 忐
yhe 荧
skui 嗖
tni 袒
cjia 锄
mga 寐
yzee 聿
yhao 熠
nqa 昵
vmi 盎
fke 吠
xwu 玺
ddoo 淀
xbei 皙
yxei 萦
pq 曝
kca 葵
xceu 厦
nkei 喏
qmei 栖
lqia 靓
jzoa 矜
msei 摹
jjae 锯
csia 矗
znie 祯
rcei 茸
wnee 鹉
rfo 攘
bgeu 弼
ldea 涟
llei 垄
jyei 谏
ymuo 榆
ymee 盂
gnei 褂
xdua 殉
rmi 睿
jfua 掬
cko 啐
lcuo 苓
gcuo 蚣
pdei 澎
czo 蹿
ckoo 嚓
jcui 蕉
ccoe 萃
vve 鳌
yneu 妪
cwia 璀
klei 逵
cni 娼
sdia 汕
sveu 隋
yri 攸
ydee 沅
xwei 亵
bbui 瘪
gbue 疙
wtu 坞
jrei 伎
nxui 恁
dloe 惦
lpe 籁
lmua 榴
cnou 婵
wdei 洼
hcia 茴
yduu 沂
mmoa 瞑
zpea 簪
cmue 杵
fzo 舫
cloe 憧
ycui 蜒
wnee 妩
yhui 烨
hzi 踝
fhia 馥
zfia 拽
vfeu 捱
kje 铐
kma 睽
hdei 瀚
jcao 茎
nfu 捻
mvua 卯
qjeu 颀
lvia 鲤
kgai 邝
xba 巽
cgai 弛
cqei 匙
ddei 渎
qcei 茜
jnoe 姣
dbei 瘩
ctee 畴
xjue 锈
bfeu 飙
rze 孺
ypaa 胤
cmia 骋
jwee 珏
zpa 篆
mmia 闽
bdoa 泌
qzuo 蹊
kmea 楷
llei 麓
qjei 钳
clua 惆
pno 嫔
sboo 勺
spiu 筛
zcoo 藻
gro 倌
svue 稣
vsei 饵
zxoe 恣
spei 乘
ypia 粤
rceo 蠕
mqu 冕
wmu 桅
hkui 嗥
jvoe 鲸
ldeu 沥
cmao 橙
pjei 缥
shoa 煽
ytoa 懿
tzia 蹋
snae 祀
bwio 卞
jlaa 剿
vyi 颚
zfao 摺
fsui 阜
gpei 箍
jmao 橘
jfae 抉
dto 墩
lwia 璐
trua 倜
bmoo 槟
hwa 亥
mjia 幔
ddei 滇
bga 靶
ylee 迂
lmei 阑
rho 熔
ykoe 噫
bdoo 殡
xkui 咻
vvoa 霭
jmau 枷
gca 菇
cdia 涔
chua 炊
gyoo 羔
ssei 峙
zlia 惴
ldei 涝
jba 痉
ddua 凋
yvia 隅
mgo 宓
yhia 煜
yzao 踊
sci 薯
lsoe 挛
lveu 陇
zsu 斫
cdoe 淬
ysue 尾
che 秤
vkuo 嗳
cloa 忱
pne 嫖
ysea 屿
zjei 纣
lheu 戾
hyue 诲
fduo 汾
ydoe 淤
ymei 阈
yqua 昀
kfea 揩
tsia 沓
zsia 崽
czou 蹭
qba 瘸
wdia 渭
gli 赣
hbua 痪
yte 垣
zmoe 梓
zroe 僮
vne 鸥
bfo 拌
nsuo 馁
wwo 琬
pbae 癖
lheu 燎
hhia 扈
fpui 筏
fcuo 蕃
ybao 贻
pdue 湃
pvoo 霈
zmia 盅
rmee 闰
xcua 荀
wna 娓
wvua 邬
nro 侬
dmae 棣
lmeo 睐
dyo 谛
syoo 裟
tme 驮
dji 铛
ysaa 幺
jpei 箕
xzo 舷
ldoe 漉
bbia 痹
lxa 窿
yyee 酝
xyue 醺
ygui 膺
jyau 袈
yloe 慵
jzia 瞿
bye 甭
lsoe 硫
jlia 憬
vvi 鳄
sfio 捎
tvia 腆
dno 嫡
svoo 鲨
jkou 嗟
jcae 厩
dyei 谍
wjua 纨
jvoe 霁
lfia 撂
klua 恪
ldei 濑
wcoo 蜿
ljuo 纶
qhuo 黔
gbeu 皋
dmoa 眈
bfuo 扒
tdei 汀
ymei 椰
cwie 璨
skei 哂
vce 藕
ptea 毗
qkuo 噙
qbei 卡
lkoa 啷
svii 肾
ckoe 啻
ljia 铝
kpe 筐
jhae 烬
qsei 岐
vvou 隘
ylia 愠
sqo 狩
yvoe 臆
jkeu 噘
jjeu 缄
btuu 坂
twu 韬
zmie 桢
sju 绥
svia 臊
zsoi 咫
yhia 酉
wrue 倭
xyia 胥
dcua 荻
cwu 卒
zyoe 谆
hfi 捍
bfae 摒
bpei 簸
bnua 鸨
nca 赧
tbo 痰
btui 埠
yvoe 腋
yna 妤
tcuo 荼
vyo 谙
ywi 韫
bne 婊
dgeu 鞑
sneo 孀
mwo 玟
rrau 仞
jqia 狙
bjeu 钹
lcoa 螂
csua 馋
mveu 腼
jvou 翦
yji 缨
tqe 昙
cdae 潺
zzue 踵
cluo 怆
jhia 稷
qzi 瞿
pfuo 扒
psoe 磅
dkei 喋
tsia 峒
jrau 伽
ddea 沌
srao 俟
gki 呷
zsei 峙
hmui 桦
wko 罔
vbi 皑
hdae 泓
xkuo 唏
xdoo 渲
kwi 琨
slau 劭
szei 隼
lnu 犁
wfei 挝
lcau 荔
zbeu 赈
jkae 唧
smee 闩
zfoe 拄
tfao 捅
bvou 鳖
wwu 瓮
kve 胯
bwu 褒
dlua 剁
dmou 睇
ylee 耘
xmui 榭
cmee 椿
yhia 秧
wbo 皖
lcoe 辘
dsi 峒
tdoe 潼
ymia 杳
dvou 郸
lcue 藜
dfoe 掂
gra 伽
jcuo 芥
mjia 缈
zkia 匝
tle 恸
jbo 皎
vyu 讹
cwe 敕
jseu 碱
qxue 憩
psi 颦
jte 畸
tfoe 搪
gkei 噶
bcua 苞
qlee 惬
jroe 佼
smuo 栓
nvo 脓
yfue 旖
phu 丕
xsio 硝
vni 鹗
zboe 瘴
zxoa 帚
ttu 坍
yrei 偃
yfuo 揄
lmii 榄
cnio 嫦
qyu 讫
lnou 褛
jfue 旌
lpou 篓
ynaa 彝
jkue 啾
wto 畹
ljeu 镣
zmoo 榨
vna 婀
pveu 胚
szua 跚
nfee 撵
ndoo 泞
tdia 湍
byo 谤
qseu 岖
wceu 葳
lwea 琏
xsu 馅
xdua 洵
jyei 颉
srae 伺
ldeu 潦
lsua 砾
bdei 渤
mdo 溟
rde 濡
hcui 蝗
ssua 舐
yxa 窈
mjei 锚
xhuo 烯
ykia 嘤
pze 蹒
slee 愫
yjuo 觎
lmoo 粱
chua 稠
qmui 糗
ydee 滟
hmui 骅
jyao 谲
zkue 吒
scua 芍
ydoe 瀛
dwi 玷
hcuo 蛤
hcei 荤
cca 辍
xmea 骁
jyei 诘
zpeu 箴
dvia 胴
zdoe 漳
blei 悖
bzo 蹩
ktei 坷
gluo 刽
gmae 橄
vvu 翱
ykoe 唁
kmei 瞌
jcei 堇
lfuo 捋
lsei 卤
sbua 赡
ycee 芋
txu 窕
hdua 涣
jjia 觊
gdia 汩
zbei 痣
tsia 碳
gfia 掴
jsoe 饺
kkie 咔
gdei 沽
yvia 郢
dleu 惰
fmui 驸
glia 剐
zcei 蛰
hhia 焊
fhu 烽
bce 蚌
tnoo 鸵
qpei 箝
jkei 咭
bpai 笆
bsi 泵
xvui 腺
hbee 鼾
ljoe 镰
dsia 碘
xjio 绡
gdee 癸
zyua 诌
ggua 骼
pvuo 鄱
ytei 堰
pcuo 蟠
mmei 檬
csei 碴
tkei 嚏
zdaa 淄
hcai 菡
rmoo 榕
zboo 鬃
myoa 谧
psu 磐
jdia 涓
wjo 绾
yhou 焱
lyuo 羚
lyua 酪
hmoe 麾
cceu 茬
pka 辔
ngo 甯
jpi 臼
wqi 猥
ljua 绺
cgeu 宸
lcoi 蔺
nmo 柠
xduo 淆
cmui 槌
yqui 晔
ysuo 峪
bcui 葆
wdoe 汶
mvuo 霾
jzoe 跻
tria 侗
dfou 掸
dhea 炖
qfue 撬
kre 龛
yboe 瘀
hxia 夥
dmea 盹
wgeu 戊
zruo 俎
yxao 恿
djoe 镀
hwei 璜
cpii 川
ssou 啬
lnia 鹭
kmae 瞰
sxu 怂
dnei 犊
yhae 熨
nwa 瑙
wlue 忤
cpia 囱
dkuo 嗲
ccua 蟾
sgeu 戍
jqeu 獗
cbo 瘁
lrei 俪
cmie 粲
ljou 镂
htoe 壕
ydia 殒
gpo 篙
zpi 纂
hcui 徨
mvoe 邙
rja 纫
ymeu 阉
vwu 瑷
pbeu 痞
lnii 褴
xyue 羲
zvia 胄
cyu 谄
mcei 蟆
czei 豺
zna 褶
mcuo 藐
pnui 媲
ldeu 泷
hmuo 桧
hnu 鹄
ssoo 挲
hdia 灏
nkei 囔
qyuo 诠
mdae 泯
mlei 懵
jcua 蓟
sfou 擞
wsi 斡
zcie 龇
ywia 璎
hdia 涸
mcue 莓
qyaa 羌
dkae 叼
lduo 殓
yyoe 谚
cbie 疵
gqo 犷
qyuo 衾
jfia 飓
free 俸
zjua 绉
zkoo 咤
qcee 螓
